Taxa,Year,Prod,FMFO_inclusion,Animal_inclusion,Crop_inclusion,Total_prod,TL_taxon_year
Marine fishes,2005,1441000,0.44,0.007319131468616459,0.5526808685313835,20982000,2.9427463787811656
Marine fishes,2006,1643000,0.4,0.007602616497193747,0.5923973835028062,22719000,2.8677072406747213
Marine fishes,2007,1737000,0.37,0.007896931924295046,0.6221030680757049,24892000,2.7996883153094925
Marine fishes,2010,1840000,0.3,0.00884901756804299,0.691150982431957,30414000,2.6463369110128463
Marine fishes,2015,2746000,0.2,0.010693644874999065,0.7893063551250009,43233000,2.4355863003671208
Salmons,1995,537000,0.7,0,0.30000000000000004,9092000,3.4810489886406764
Salmons,1996,643000,0.69,0,0.31000000000000005,10293000,3.4537656467934976
Salmons,1997,741000,0.68,0,0.31999999999999995,11477000,3.436942936937211
Salmons,1998,789000,0.66,0,0.33999999999999997,12502000,3.43134312777366
Salmons,1999,910000,0.65,0,0.35,13850000,3.356097907473342
Salmons,2000,1025000,0.63,0,0.37,13944000,3.3062675430060198
Salmons,2001,1205000,0.62,0,0.38,15193000,3.321287079675562
Salmons,2002,1224000,0.6,0,0.4,16208000,3.254677008638858
Salmons,2003,1281000,0.59,0,0.41000000000000003,18601000,3.2745682926925563
Salmons,2004,1380000,0.57,0,0.43000000000000005,19443000,3.2099884577935898
Salmons,2005,1403000,0.56,0,0.43999999999999995,20982000,3.1896122434836025
Salmons,2006,1471000,0.5,0,0.5,22719000,3.07418045315976
Salmons,2007,1527000,0.4,0,0.6,24892000,2.85513696237056
Salmons,2010,1622000,0.3,0,0.7,30414000,2.636602991687999
Salmons,2015,3053000,0.2,0,0.8,43233000,2.423823291004622
Trouts,1995,392000,0.6,0.005000000000004918,0.39499999999999513,9092000,3.2749705616920135
Trouts,1996,421000,0.58,0.005956400151440382,0.41404359984855965,10293000,3.228557946166916
Trouts,1997,473000,0.56,0.007095118513431568,0.43290488148656836,11477000,3.191169401960125
Trouts,1998,491000,0.55,0.008450791888053102,0.44154920811194687,12502000,3.202081810888242
Trouts,1999,475000,0.54,0.010064614895607438,0.44993538510439257,13850000,3.1376754918245595
Trouts,2000,508000,0.53,0.011985577321039081,0.45801442267896086,13944000,3.1121076236137633
Trouts,2001,565000,0.53,0.01427193412484552,0.45572806587515446,15193000,3.1451864698406333
Trouts,2002,560000,0.51,0.01699295171700263,0.47300704828299733,16208000,3.0851677042317327
Trouts,2003,565000,0.51,0.02023098223418287,0.46976901776581714,18601000,3.1239995538020144
Trouts,2004,572000,0.5,0.024083927217269895,0.47591607278273007,19443000,3.0878857039684617
Trouts,2005,566000,0.5,0.028668163539177987,0.471331836460822,20982000,3.093688768717741
Trouts,2006,610000,0.45,0.03412201801493921,0.5158779819850607,22719000,3.004296627660217
Trouts,2007,667000,0.36,0.04060989323141735,0.5993901067685827,24892000,2.814294148688063
Trouts,2010,752000,0.26,0.0684222691087359,0.671577730891264,30414000,2.6269870888158753
Trouts,2015,1107000,0.18,0.16295078000001553,0.6570492199999844,43233000,2.560686819904177
Catfishes,1995,345000,0.06,0.005000000000001508,0.9349999999999985,9092000,2.1324470561692026
Catfishes,1996,396000,0.05,0.0055106479325216446,0.9444893520674783,10293000,2.11140704944994
Catfishes,1997,488000,0.04,0.006073152312648793,0.9539268476873513,11477000,2.0912065226578673
Catfishes,1998,462000,0.06,0.006692749169123851,0.9333072508308762,12502000,2.1374841266109144
Catfishes,1999,540000,0.08,0.007375200194037366,0.9126247998059627,13850000,2.175017078056314
Catfishes,2000,529000,0.09,0.008126845212459351,0.9018731547875407,13944000,2.1955491787345656
Catfishes,2001,559000,0.092,0.008954659859112035,0.899045340140888,15193000,2.2059120796033325
Catfishes,2002,667000,0.114,0.009866318975826164,0.8761336810241738,16208000,2.2492415825147916
Catfishes,2003,1034000,0.114,0.010870266293916582,0.8751297337060834,18601000,2.258229810494412
Catfishes,2004,1269000,0.135,0.01197579102090375,0.8530242089790963,19443000,2.2997495838109496
Catfishes,2005,1500000,0.135,0.01319311201173193,0.8518068879882681,20982000,2.3012939461955595
Catfishes,2006,1792000,0.11699999999999999,0.014533470271216046,0.8684665297287839,22719000,2.2673450433377216
Catfishes,2007,2265000,0.09699999999999999,0.016009230607542363,0.8869907693924577,24892000,2.2249808670431577
Catfishes,2010,3205000,0.076,0.021391853365730008,0.90260814663427,30414000,2.1848037965965963
Catfishes,2015,4924000,0.044000000000000004,0.03464400416666672,0.9213559958333333,43233000,2.1313495286043502
FW fishes,1995,107000,0.63,0.005000000000002644,0.3649999999999973,9092000,3.3384440897766114
FW fishes,1996,131000,0.58,0.00558235273282903,0.414417647267171,10293000,3.2281464940064435
FW fishes,1997,145000,0.58,0.006232188487777508,0.4137678115122225,11477000,3.232483206488882
FW fishes,1998,234000,0.56,0.006957287384426908,0.43304271261557303,12502000,3.2221259730217326
FW fishes,1999,247000,0.56,0.007766321927495067,0.4322336780725049,13850000,3.1768734590203547
FW fishes,2000,285000,0.56,0.008668958838679621,0.43133104116132037,13944000,3.1706625596167877
FW fishes,2001,244000,0.51,0.00967597244883615,0.4803240275511639,15193000,3.097508748136521
